"country","degree_centrality","closeness_centrality"
"at",2803,0.0192307692307692
"be",3245,0.0192307692307692
"dk",2930,0.0188679245283019
"fr",3305,0.0192307692307692
"de",3351,0.0192307692307692
"it",2245,0.0185185185185185
"lu",1302,0.012987012987013
"nl",3232,0.0188679245283019
"ch",3158,0.0192307692307692
"gb",3378,0.0192307692307692
"se",3531,0.0192307692307692
"mc",952,0.0161290322580645
"no",3483,0.0192307692307692
"fi",3120,0.0192307692307692
"es",3311,0.0192307692307692
"yu",996,0.0123456790123457
"pt",2944,0.0192307692307692
"ie",3016,0.0188679245283019
"mt",2315,0.0185185185185185
"il",2792,0.0188679245283019
"gr",2829,0.0188679245283019
"tr",2009,0.0185185185185185
"ma",38,0.0116279069767442
"cy",2549,0.0188679245283019
"is",2412,0.0185185185185185
"ba",1449,0.0181818181818182
"hr",1954,0.0185185185185185
"si",1978,0.0185185185185185
"ee",2072,0.0181818181818182
"hu",1494,0.0178571428571429
"lt",1900,0.0181818181818182
"pl",1788,0.0181818181818182
"ro",1894,0.0178571428571429
"ru",1894,0.0178571428571429
"sk",405,0.0158730158730159
"mk",1624,0.0178571428571429
"lv",1670,0.0178571428571429
"ua",1769,0.0181818181818182
"al",1672,0.0181818181818182
"ad",474,0.0169491525423729
"by",1351,0.0178571428571429
"cs",250,0.0153846153846154
"bg",1180,0.0178571428571429
"md",1674,0.0181818181818182
"am",1409,0.0181818181818182
"cz",905,0.0172413793103448
"ge",1235,0.0172413793103448
"me",873,0.0169491525423729
"rs",1423,0.0175438596491228
"az",1432,0.0172413793103448
"sm",912,0.0169491525423729
"au",755,0.0166666666666667
"wld",26,0.0128205128205128
