"country_from","country_to","has_same_ethnicity"
"AD","AL",FALSE
"AM","AL",FALSE
"AU","AL",TRUE
"AT","AL",FALSE
"AZ","AL",FALSE
"BY","AL",FALSE
"BE","AL",FALSE
"BG","AL",TRUE
"HR","AL",TRUE
"CY","AL",TRUE
"DK","AL",FALSE
"EE","AL",FALSE
"FI","AL",TRUE
"FR","AL",FALSE
"GE","AL",TRUE
"DE","AL",FALSE
"GR","AL",TRUE
"HU","AL",TRUE
"IS","AL",FALSE
"IE","AL",FALSE
"IL","AL",FALSE
"IT","AL",FALSE
"LV","AL",FALSE
"LT","AL",FALSE
"LU","AL",FALSE
"MT","AL",FALSE
"MD","AL",FALSE
"MC","AL",FALSE
"ME","AL",TRUE
"MA","AL",FALSE
"NL","AL",FALSE
"MK","AL",TRUE
"NO","AL",FALSE
"PL","AL",FALSE
"PT","AL",FALSE
"RO","AL",TRUE
"RU","AL",FALSE
"SM","AL",FALSE
"RS","AL",TRUE
"SK","AL",TRUE
"SI","AL",FALSE
"ES","AL",FALSE
"SE","AL",FALSE
"CH","AL",FALSE
"UA","AL",FALSE
"GB","AL",FALSE
"AL","AD",FALSE
"AM","AD",FALSE
"AU","AD",FALSE
"AT","AD",FALSE
"AZ","AD",FALSE
"BY","AD",FALSE
"BE","AD",TRUE
"BG","AD",FALSE
"HR","AD",FALSE
"CY","AD",FALSE
"DK","AD",FALSE
"EE","AD",FALSE
"FI","AD",FALSE
"FR","AD",FALSE
"GE","AD",FALSE
"DE","AD",FALSE
"GR","AD",FALSE
"HU","AD",FALSE
"IS","AD",FALSE
"IE","AD",FALSE
"IL","AD",FALSE
"IT","AD",TRUE
"LV","AD",FALSE
"LT","AD",FALSE
"LU","AD",TRUE
"MT","AD",FALSE
"MD","AD",FALSE
"MC","AD",TRUE
"ME","AD",FALSE
"MA","AD",FALSE
"NL","AD",FALSE
"MK","AD",FALSE
"NO","AD",FALSE
"PL","AD",FALSE
"PT","AD",TRUE
"RO","AD",FALSE
"RU","AD",FALSE
"SM","AD",FALSE
"RS","AD",FALSE
"SK","AD",FALSE
"SI","AD",FALSE
"ES","AD",TRUE
"SE","AD",FALSE
"CH","AD",TRUE
"UA","AD",FALSE
"GB","AD",FALSE
"AL","AM",FALSE
"AD","AM",FALSE
"AU","AM",FALSE
"AT","AM",FALSE
"AZ","AM",TRUE
"BY","AM",FALSE
"BE","AM",FALSE
"BG","AM",TRUE
"HR","AM",FALSE
"CY","AM",TRUE
"DK","AM",FALSE
"EE","AM",FALSE
"FI","AM",FALSE
"FR","AM",FALSE
"GE","AM",TRUE
"DE","AM",FALSE
"GR","AM",FALSE
"HU","AM",FALSE
"IS","AM",FALSE
"IE","AM",FALSE
"IL","AM",FALSE
"IT","AM",FALSE
"LV","AM",FALSE
"LT","AM",FALSE
"LU","AM",FALSE
"MT","AM",FALSE
"MD","AM",FALSE
"MC","AM",FALSE
"ME","AM",FALSE
"MA","AM",FALSE
"NL","AM",FALSE
"MK","AM",FALSE
"NO","AM",FALSE
"PL","AM",FALSE
"PT","AM",FALSE
"RO","AM",FALSE
"RU","AM",FALSE
"SM","AM",FALSE
"RS","AM",FALSE
"SK","AM",FALSE
"SI","AM",FALSE
"ES","AM",FALSE
"SE","AM",FALSE
"CH","AM",FALSE
"UA","AM",FALSE
"GB","AM",FALSE
"AL","AU",TRUE
"AD","AU",FALSE
"AM","AU",FALSE
"AT","AU",TRUE
"AZ","AU",FALSE
"BY","AU",FALSE
"BE","AU",TRUE
"BG","AU",FALSE
"HR","AU",FALSE
"CY","AU",TRUE
"DK","AU",TRUE
"EE","AU",FALSE
"FI","AU",FALSE
"FR","AU",TRUE
"GE","AU",TRUE
"DE","AU",TRUE
"GR","AU",TRUE
"HU","AU",TRUE
"IS","AU",FALSE
"IE","AU",TRUE
"IL","AU",FALSE
"IT","AU",TRUE
"LV","AU",FALSE
"LT","AU",FALSE
"LU","AU",TRUE
"MT","AU",TRUE
"MD","AU",FALSE
"MC","AU",TRUE
"ME","AU",FALSE
"MA","AU",FALSE
"NL","AU",FALSE
"MK","AU",FALSE
"NO","AU",FALSE
"PL","AU",TRUE
"PT","AU",TRUE
"RO","AU",TRUE
"RU","AU",FALSE
"SM","AU",TRUE
"RS","AU",FALSE
"SK","AU",TRUE
"SI","AU",FALSE
"ES","AU",FALSE
"SE","AU",FALSE
"CH","AU",TRUE
"UA","AU",FALSE
"GB","AU",TRUE
