"country_code","country_name","country_border_code","country_border_name"
"AD","Andorra","FR","France"
"AD","Andorra","ES","Spain"
"AL","Albania","GR","Greece"
"AL","Albania","ME","Montenegro"
"AL","Albania","MK","North Macedonia"
"AL","Albania","RS","Serbia"
"AM","Armenia","AZ","Azerbaijan"
"AM","Armenia","GE","Georgia"
"AM","Armenia","IR","Iran"
"AM","Armenia","TR","Turkey"
"AT","Austria","CZ","Czech Republic"
"AT","Austria","DE","Germany"
"AT","Austria","HU","Hungary"
"AT","Austria","IT","Italy"
"AT","Austria","LI","Liechtenstein"
"AT","Austria","SK","Slovakia"
"AT","Austria","SI","Slovenia"
"AT","Austria","CH","Switzerland"
"AZ","Azerbaijan","AM","Armenia"
"AZ","Azerbaijan","GE","Georgia"
"AZ","Azerbaijan","IR","Iran"
"AZ","Azerbaijan","RU","Russia"
"AZ","Azerbaijan","TR","Turkey"
"BA","Bosnia & Herzegovina","HR","Croatia"
"BA","Bosnia & Herzegovina","ME","Montenegro"
"BA","Bosnia & Herzegovina","RS","Serbia"
"BE","Belgium","FR","France"
"BE","Belgium","DE","Germany"
"BE","Belgium","LU","Luxembourg"
"BE","Belgium","NL","Netherlands"
"BG","Bulgaria","GR","Greece"
"BG","Bulgaria","MK","North Macedonia"
"BG","Bulgaria","RO","Romania"
"BG","Bulgaria","RS","Serbia"
"BG","Bulgaria","TR","Turkey"
"BY","Belarus","LV","Latvia"
"BY","Belarus","LT","Lithuania"
"BY","Belarus","PL","Poland"
"BY","Belarus","RU","Russia"
"BY","Belarus","UA","Ukraine"
"CH","Switzerland","AT","Austria"
"CH","Switzerland","FR","France"
"CH","Switzerland","DE","Germany"
"CH","Switzerland","IT","Italy"
"CH","Switzerland","LI","Liechtenstein"
"CZ","Czech Republic","AT","Austria"
"CZ","Czech Republic","DE","Germany"
"CZ","Czech Republic","PL","Poland"
"CZ","Czech Republic","SK","Slovakia"
"DE","Germany","AT","Austria"
"DE","Germany","BE","Belgium"
"DE","Germany","CZ","Czech Republic"
"DE","Germany","DK","Denmark"
"DE","Germany","FR","France"
"DE","Germany","LU","Luxembourg"
"DE","Germany","NL","Netherlands"
"DE","Germany","PL","Poland"
"DE","Germany","CH","Switzerland"
"DK","Denmark","DE","Germany"
"EE","Estonia","LV","Latvia"
"EE","Estonia","RU","Russia"
"ES","Spain","AD","Andorra"
"ES","Spain","FR","France"
"ES","Spain","GI","Gibraltar"
"ES","Spain","MA","Morocco"
"ES","Spain","PT","Portugal"
"FI","Finland","NO","Norway"
"FI","Finland","RU","Russia"
