"from_country","to_country","total_points"
"ad","ad",0
"al","ad",6
"am","ad",0
"at","ad",0
"az","ad",0
"ba","ad",0
"be","ad",0
"bg","ad",0
"by","ad",4
"ch","ad",0
"cs","ad",0
"cy","ad",0
"cz","ad",7
"de","ad",0
"dk","ad",0
"ee","ad",8
"es","ad",54
"fi","ad",5
"fr","ad",0
"gb","ad",0
"ge","ad",0
"gr","ad",4
"hr","ad",2
"hu","ad",0
"ie","ad",5
"il","ad",6
"is","ad",6
"lt","ad",2
"lv","ad",0
"mc","ad",0
"md","ad",4
"me","ad",0
"mk","ad",1
"mt","ad",3
"nl","ad",7
"no","ad",2
"pl","ad",7
"pt","ad",10
"ro","ad",0
"rs","ad",0
"ru","ad",4
"se","ad",2
"si","ad",5
"sm","ad",0
"tr","ad",3
"ua","ad",0
"ad","al",6
"al","al",0
"am","al",8
"at","al",70
"au","al",0
"az","al",80
"ba","al",43
"be","al",66
"bg","al",30
"by","al",24
"ch","al",200
"cs","al",22
"cy","al",30
"cz","al",16
"de","al",39
"dk","al",48
"ee","al",5
"es","al",27
"fi","al",38
"fr","al",29
"gb","al",30
"ge","al",15
"gr","al",260
"hr","al",109
"hu","al",35
"ie","al",11
"il","al",13
"is","al",56
"it","al",112
"lt","al",1
"lv","al",16
"mc","al",3
"md","al",32
"me","al",121
"mk","al",263
"mt","al",42
"nl","al",9
"no","al",21
"pl","al",25
"pt","al",32
"ro","al",25
"rs","al",13
"ru","al",19
"se","al",27
"si","al",48
"sk","al",4
"sm","al",62
"tr","al",60
"ua","al",7
"ad","am",3
"al","am",62
"am","am",0
"at","am",66
"au","am",11
"az","am",0
"ba","am",25
"be","am",132
"bg","am",138
"by","am",92
"ch","am",18
"cs","am",0
"cy","am",120
"cz","am",95
"de","am",59
"dk","am",15
"ee","am",18
"es","am",126
"fi","am",30
"fr","am",192
"gb","am",18
"ge","am",178
"gr","am",168
"hr","am",19
"hu","am",28
"ie","am",10
"il","am",113
"is","am",31
"it","am",39
"lt","am",14
"lv","am",38
"mc","am",0
"md","am",105
"me","am",68
"mk","am",41
"mt","am",52
"nl","am",153
"no","am",23
"pl","am",69
"pt","am",29
"ro","am",56
"rs","am",16
"ru","am",187
"se","am",49
"si","am",19
"sk","am",7
"sm","am",54
"tr","am",75
"ua","am",92
"ad","at",8
"al","at",30
"am","at",37
"at","at",0
"au","at",24
"az","at",12
"ba","at",53
"be","at",160
"bg","at",81
"by","at",32
"ch","at",158
"cs","at",0
"cy","at",68
"cz","at",30
"de","at",129
"dk","at",130
"ee","at",91
"es","at",117
"fi","at",117
"fr","at",129
"gb","at",149
"ge","at",42
"gr","at",107
"hr","at",48
"hu","at",57
"ie","at",146
"il","at",112
"is","at",110
"it","at",107
"lt","at",79
"lu","at",27
"lv","at",35
"ma","at",3
"mc","at",26
"md","at",28
"me","at",3
"mk","at",14
"mt","at",53
"nl","at",122
"no","at",80
"pl","at",40
"pt","at",97
"ro","at",44
"rs","at",29
"ru","at",27
"se","at",121
"si","at",78
"sk","at",11
"sm","at",18
"tr","at",71
"ua","at",19
"yu","at",41
"al","au",59
"am","au",13
"at","au",30
"au","au",0
"az","au",44
"ba","au",13
"be","au",105
"bg","au",32
"by","au",57
"ch","au",53
"cy","au",68
"cz","au",62
"de","au",100
"dk","au",94
"ee","au",71
"es","au",87
"fi","au",106
"fr","au",62
"gb","au",97
"ge","au",45
"gr","au",53
"hr","au",25
"hu","au",60
"ie","au",57
"il","au",105
"is","au",109
"it","au",49
"lt","au",53
"lv","au",75
"md","au",72
"me","au",40
"mk","au",47
"mt","au",73
"nl","au",49
"no","au",84
"pl","au",137
"pt","au",46
"ro","au",53
"rs","au",59
"ru","au",25
"se","au",123
"si","au",60
"sm","au",59
"ua","au",62
"ad","az",15
"al","az",97
"am","az",3
"at","az",46
"au","az",20
"az","az",0
"ba","az",53
"be","az",48
"bg","az",77
"by","az",71
"ch","az",25
"cy","az",132
"cz","az",113
"de","az",38
"dk","az",40
"ee","az",58
"es","az",68
"fi","az",34
"fr","az",48
"gb","az",48
"ge","az",181
"gr","az",128
"hr","az",83
"hu","az",110
"ie","az",52
"il","az",103
"is","az",60
"it","az",47
"lt","az",107
"lv","az",64
"md","az",173
"me","az",94
"mk","az",76
"mt","az",144
"nl","az",65
"no","az",63
"pl","az",70
"pt","az",56
"ro","az",103
"rs","az",45
"ru","az",213
"se","az",69
"si","az",54
"sk","az",29
"sm","az",83
"tr","az",84
"ua","az",138
"ad","ba",1
"al","ba",75
"am","ba",19
"at","ba",108
"az","ba",24
"ba","ba",0
"be","ba",26
"bg","ba",31
"by","ba",21
"ch","ba",84
"cs","ba",41
"cy","ba",7
"cz","ba",22
"de","ba",79
"dk","ba",76
"ee","ba",2
"es","ba",12
"fi","ba",53
"fr","ba",71
"gb","ba",16
"ge","ba",2
"gr","ba",20
"hr","ba",194
"hu","ba",1
"ie","ba",24
"il","ba",6
"is","ba",18
"it","ba",11
"lt","ba",7
"lu","ba",0
"lv","ba",4
"mc","ba",28
"md","ba",21
"me","ba",77
"mk","ba",116
"mt","ba",30
"nl","ba",90
"no","ba",92
"pl","ba",20
"pt","ba",20
"ro","ba",24
"rs","ba",78
"ru","ba",15
"se","ba",127
"si","ba",151
"sk","ba",41
"sm","ba",6
"tr","ba",175
"ua","ba",22
"ad","be",8
"al","be",49
"am","be",36
"at","be",90
"au","be",98
"az","be",31
"ba","be",22
"be","be",0
"bg","be",58
"by","be",53
"ch","be",98
"cs","be",0
"cy","be",92
"cz","be",43
"de","be",150
"dk","be",134
"ee","be",111
"es","be",171
"fi","be",150
"fr","be",193
"gb","be",159
"ge","be",70
"gr","be",102
"hr","be",19
"hu","be",37
"ie","be",182
"il","be",123
"is","be",93
"it","be",106
"lt","be",100
"lu","be",65
"lv","be",80
"ma","be",0
"mc","be",43
"md","be",44
"me","be",31
"mk","be",58
"mt","be",44
"nl","be",276
"no","be",113
"pl","be",121
"pt","be",190
"ro","be",54
"rs","be",61
"ru","be",75
"se","be",138
"si","be",103
"sk","be",27
"sm","be",39
"tr","be",63
"ua","be",63
"yu","be",42
"ad","bg",0
"al","bg",116
"am","bg",31
"at","bg",88
"au","bg",51
"az","bg",47
"ba","bg",18
"be","bg",57
"bg","bg",0
"by","bg",78
"ch","bg",70
"cs","bg",1
"cy","bg",132
"cz","bg",69
"de","bg",64
"dk","bg",70
"ee","bg",74
"es","bg",108
"fi","bg",70
"fr","bg",78
"gb","bg",129
"ge","bg",54
"gr","bg",104
"hr","bg",60
"hu","bg",72
"ie","bg",89
"il","bg",73
"is","bg",37
"it","bg",34
"lt","bg",49
"lv","bg",43
"mc","bg",0
"md","bg",85
"me","bg",29
"mk","bg",160
"mt","bg",83
"nl","bg",45
"no","bg",86
"pl","bg",40
"pt","bg",70
"ro","bg",48
"rs","bg",98
"ru","bg",10
"se","bg",25
"si","bg",52
"sk","bg",0
"sm","bg",59
"tr","bg",49
"ua","bg",40
"ad","by",0
"al","by",13
"am","by",58
"at","by",25
"au","by",8
"az","by",56
"ba","by",8
"be","by",4
"bg","by",40
"by","by",0
"ch","by",2
"cs","by",0
"cy","by",45
"cz","by",22
"de","by",2
"dk","by",5
"ee","by",50
"es","by",7
"fi","by",14
"fr","by",18
"gb","by",4
"ge","by",87
"gr","by",51
"hr","by",17
"hu","by",31
"ie","by",14
"il","by",65
"is","by",19
"it","by",8
"lt","by",83
"lv","by",53
"mc","by",1
"md","by",77
"me","by",24
"mk","by",44
"mt","by",51
"nl","by",6
"no","by",4
"pl","by",40
"pt","by",15
"ro","by",14
"rs","by",25
"ru","by",89
"se","by",4
"si","by",22
"sk","by",4
"sm","by",1
"tr","by",8
"ua","by",155
"ad","ch",9
"al","ch",107
"am","ch",50
"at","ch",242
"au","ch",23
"az","ch",33
"ba","ch",8
"be","ch",154
"bg","ch",40
"by","ch",33
"ch","ch",0
"cs","ch",2
"cy","ch",78
"cz","ch",40
"de","ch",189
"dk","ch",175
"ee","ch",81
"es","ch",117
"fi","ch",210
"fr","ch",153
