"country","degree_centrality","closeness_centrality","betweenness_centrality"
"AL",4,0.00892857142857143,0.00606898968999012
"AD",10,0.00806451612903226,0.061613475177305
"AM",10,0.00840336134453781,0
"AU",9,0.00892857142857143,0
"AT",14,0.0114942528735632,0.0704520850711795
"AZ",10,0.00840336134453781,0
"BY",10,0.00840336134453781,0
"BE",15,0.0101010101010101,0.0676594948144697
"BG",5,0.00900900900900901,0.0021137865928569
"HR",17,0.0119047619047619,0.15158008903397
"CY",14,0.010989010989011,0.14542357174474
"DK",17,0.0104166666666667,0.0322349844753869
"EE",10,0.00840336134453781,0
"FI",12,0.00854700854700855,0.0815602836879433
"FR",9,0.008,0.0199468085106383
"GE",10,0.00840336134453781,0
"DE",9,0.00925925925925926,0
"GR",17,0.01,0.0466894675936817
"HU",6,0.00925925925925926,0
"IS",17,0.0104166666666667,0.0322349844753869
"IE",9,0.00892857142857143,0
"IL",10,0.00900900900900901,0.00320696836654283
"IT",15,0.0101010101010101,0.0300856177459118
"LV",10,0.00840336134453781,0
"LT",11,0.00847457627118644,0.00681236120065907
"LU",14,0.01,0.025992828147803
"MT",9,0.00892857142857143,0
"MD",16,0.0111111111111111,0.181537516286956
"MC",18,0.010752688172043,0.0551879114582011
"ME",2,0.0072463768115942,0
"MA",9,0.008,0.00206855791962175
"MK",8,0.00934579439252336,0.0228760020930601
"NO",2,0.00613496932515337,0
"PL",2,0.00719424460431655,0
"RO",14,0.0116279069767442,0.100908841619761
"RU",10,0.00840336134453781,0
"SM",4,0.00869565217391304,0
"RS",11,0.01,0.0569323285593964
"SK",8,0.00961538461538462,0.0134269813126196
"GB",11,0.00892857142857143,0
"PT",1,0.00584795321637427,0
"ES",2,0.00588235294117647,0
"CH",15,0.0101010101010101,0.0300856177459118
"UA",17,0.010752688172043,0.210747255186645
"SI",3,0.00806451612903226,0
"NL",1,0.00684931506849315,0
"TR",4,0.00862068965517241,0
"CZ",1,0.00763358778625954,0
"SE",2,0.00613496932515337,0
