"country_from","country_to","has_same_language"
"AL","AD",FALSE
"AL","AM",FALSE
"AL","AU",FALSE
"AL","AT",FALSE
"AL","AZ",FALSE
"AL","BY",FALSE
"AL","BE",FALSE
"AL","BG",FALSE
"AL","HR",FALSE
"AL","CY",TRUE
"AL","CZ",FALSE
"AL","DK",FALSE
"AL","EE",FALSE
"AL","FI",FALSE
"AL","FR",FALSE
"AL","GE",FALSE
"AL","DE",FALSE
"AL","GR",TRUE
"AL","HU",FALSE
"AL","IS",FALSE
"AL","IE",FALSE
"AL","IL",FALSE
"AL","IT",FALSE
"AL","LV",FALSE
"AL","LT",FALSE
"AL","LU",FALSE
"AL","MT",FALSE
"AL","MD",FALSE
"AL","MC",FALSE
"AL","ME",FALSE
"AL","MA",FALSE
"AL","NL",FALSE
"AL","MK",TRUE
"AL","NO",FALSE
"AL","PL",FALSE
"AL","PT",FALSE
"AL","RO",FALSE
"AL","RU",FALSE
"AL","SM",FALSE
"AL","RS",TRUE
"AL","SK",FALSE
"AL","SI",FALSE
"AL","ES",FALSE
"AL","SE",FALSE
"AL","CH",FALSE
"AL","TR",FALSE
"AL","UA",FALSE
"AL","GB",FALSE
"AD","AM",FALSE
"AD","AU",FALSE
"AD","AT",FALSE
"AD","AZ",FALSE
"AD","BY",FALSE
"AD","BE",TRUE
"AD","BG",FALSE
"AD","HR",FALSE
"AD","CY",FALSE
"AD","CZ",FALSE
"AD","DK",FALSE
"AD","EE",FALSE
"AD","FI",FALSE
"AD","FR",TRUE
"AD","GE",FALSE
"AD","DE",FALSE
"AD","GR",TRUE
"AD","HU",FALSE
"AD","IS",FALSE
"AD","IE",FALSE
"AD","IL",FALSE
"AD","IT",TRUE
"AD","LV",FALSE
"AD","LT",FALSE
"AD","LU",TRUE
"AD","MT",FALSE
"AD","MD",FALSE
"AD","MC",TRUE
"AD","ME",FALSE
"AD","MA",TRUE
"AD","NL",FALSE
"AD","MK",FALSE
"AD","NO",FALSE
"AD","PL",FALSE
"AD","PT",TRUE
"AD","RO",FALSE
"AD","RU",FALSE
"AD","SM",FALSE
"AD","RS",FALSE
"AD","SK",FALSE
"AD","SI",FALSE
"AD","ES",TRUE
"AD","SE",FALSE
"AD","CH",TRUE
"AD","TR",FALSE
"AD","UA",FALSE
"AD","GB",FALSE
"AM","AU",FALSE
"AM","AT",FALSE
"AM","AZ",TRUE
"AM","BY",TRUE
"AM","BE",FALSE
"AM","BG",FALSE
"AM","HR",FALSE
"AM","CY",FALSE
"AM","CZ",FALSE
"AM","DK",FALSE
"AM","EE",TRUE
"AM","FI",TRUE
"AM","FR",FALSE
"AM","GE",TRUE
"AM","DE",FALSE
"AM","GR",FALSE
"AM","HU",FALSE
"AM","IS",FALSE
"AM","IE",FALSE
"AM","IL",FALSE
"AM","IT",FALSE
"AM","LV",TRUE
"AM","LT",TRUE
"AM","LU",FALSE
"AM","MT",FALSE
"AM","MD",TRUE
"AM","MC",FALSE
"AM","ME",FALSE
"AM","MA",FALSE
"AM","NL",FALSE
"AM","MK",FALSE
"AM","NO",FALSE
"AM","PL",FALSE
"AM","PT",FALSE
"AM","RO",FALSE
"AM","RU",TRUE
"AM","SM",FALSE
"AM","RS",FALSE
"AM","SK",FALSE
"AM","SI",FALSE
"AM","ES",FALSE
"AM","SE",FALSE
"AM","CH",FALSE
"AM","TR",FALSE
"AM","UA",TRUE
"AM","GB",FALSE
"AU","AT",FALSE
"AU","AZ",FALSE
"AU","BY",FALSE
"AU","BE",FALSE
"AU","BG",FALSE
"AU","HR",FALSE
"AU","CY",TRUE
"AU","CZ",FALSE
"AU","DK",TRUE
"AU","EE",FALSE
"AU","FI",FALSE
"AU","FR",FALSE
"AU","GE",FALSE
"AU","DE",FALSE
"AU","GR",TRUE
"AU","HU",FALSE
"AU","IS",TRUE
"AU","IE",TRUE
"AU","IL",TRUE
"AU","IT",FALSE
"AU","LV",FALSE
"AU","LT",FALSE
"AU","LU",FALSE
"AU","MT",TRUE
"AU","MD",FALSE
"AU","MC",TRUE
"AU","ME",FALSE
"AU","MA",FALSE
"AU","NL",FALSE
"AU","MK",FALSE
"AU","NO",FALSE
"AU","PL",FALSE
"AU","PT",FALSE
"AU","RO",FALSE
"AU","RU",FALSE
"AU","SM",FALSE
"AU","RS",FALSE
"AU","SK",FALSE
"AU","SI",FALSE
"AU","ES",FALSE
"AU","SE",FALSE
"AU","CH",FALSE
"AU","TR",FALSE
"AU","UA",FALSE
"AU","GB",TRUE
"AT","AZ",FALSE
"AT","BY",FALSE
"AT","BE",TRUE
"AT","BG",FALSE
"AT","HR",TRUE
"AT","CY",FALSE
"AT","CZ",FALSE
"AT","DK",TRUE
"AT","EE",FALSE
"AT","FI",FALSE
"AT","FR",FALSE
"AT","GE",FALSE
"AT","DE",TRUE
"AT","GR",FALSE
"AT","HU",TRUE
