"year","round","from_country","to_country","total_points","tele_points","jury_points"
1957,"final","at","nl","2",NA,NA
1957,"final","at","be","1",NA,NA
1957,"final","at","ch","0",NA,NA
1957,"final","at","ch","1",NA,NA
1957,"final","at","dk","2",NA,NA
1957,"final","at","fr","4",NA,NA
1957,"final","at","de","0",NA,NA
1957,"final","at","lu","0",NA,NA
1957,"final","at","gb","0",NA,NA
1957,"final","at","it","0",NA,NA
1957,"final","be","ch","1",NA,NA
1957,"final","be","ch","2",NA,NA
1957,"final","be","dk","3",NA,NA
1957,"final","be","de","4",NA,NA
1957,"final","be","at","0",NA,NA
1957,"final","be","nl","0",NA,NA
1957,"final","be","gb","0",NA,NA
1957,"final","be","lu","0",NA,NA
1957,"final","be","fr","0",NA,NA
1957,"final","be","it","0",NA,NA
1957,"final","dk","lu","4",NA,NA
1957,"final","dk","be","3",NA,NA
1957,"final","dk","de","3",NA,NA
1957,"final","dk","ch","0",NA,NA
1957,"final","dk","gb","0",NA,NA
1957,"final","dk","gb","0",NA,NA
1957,"final","dk","fr","0",NA,NA
1957,"final","dk","it","0",NA,NA
1957,"final","dk","at","0",NA,NA
1957,"final","dk","nl","0",NA,NA
1957,"final","fr","nl","10",NA,NA
1957,"final","fr","ch","0",NA,NA
1957,"final","fr","dk","0",NA,NA
1957,"final","fr","it","0",NA,NA
1957,"final","fr","gb","0",NA,NA
1957,"final","fr","nl","0",NA,NA
1957,"final","fr","lu","0",NA,NA
1957,"final","fr","de","0",NA,NA
1957,"final","fr","be","0",NA,NA
1957,"final","fr","at","0",NA,NA
1957,"final","de","it","2",NA,NA
1957,"final","de","it","4",NA,NA
1957,"final","de","ch","0",NA,NA
1957,"final","de","fr","3",NA,NA
1957,"final","de","at","1",NA,NA
1957,"final","de","lu","0",NA,NA
1957,"final","de","gb","0",NA,NA
1957,"final","de","be","0",NA,NA
1957,"final","de","dk","0",NA,NA
1957,"final","de","nl","0",NA,NA
1957,"final","it","de","3",NA,NA
1957,"final","it","nl","3",NA,NA
1957,"final","it","lu","3",NA,NA
1957,"final","it","dk","1",NA,NA
1957,"final","it","ch","0",NA,NA
1957,"final","it","at","0",NA,NA
1957,"final","it","be","0",NA,NA
1957,"final","it","fr","0",NA,NA
1957,"final","it","fr","0",NA,NA
1957,"final","it","gb","0",NA,NA
1957,"final","lu","dk","2",NA,NA
1957,"final","lu","dk","1",NA,NA
1957,"final","lu","de","2",NA,NA
1957,"final","lu","at","1",NA,NA
1957,"final","lu","it","2",NA,NA
1957,"final","lu","fr","2",NA,NA
1957,"final","lu","gb","0",NA,NA
1957,"final","lu","be","0",NA,NA
1957,"final","lu","ch","0",NA,NA
1957,"final","lu","nl","0",NA,NA
1957,"final","nl","dk","4",NA,NA
1957,"final","nl","lu","3",NA,NA
1957,"final","nl","be","3",NA,NA
1957,"final","nl","fr","0",NA,NA
1957,"final","nl","it","0",NA,NA
1957,"final","nl","at","0",NA,NA
1957,"final","nl","de","0",NA,NA
1957,"final","nl","ch","0",NA,NA
1957,"final","nl","gb","0",NA,NA
1957,"final","nl","gb","0",NA,NA
1957,"final","ch","be","2",NA,NA
1957,"final","ch","dk","0",NA,NA
1957,"final","ch","lu","2",NA,NA
1957,"final","ch","fr","0",NA,NA
1957,"final","ch","it","2",NA,NA
1957,"final","ch","de","4",NA,NA
1957,"final","ch","at","0",NA,NA
1957,"final","ch","at","0",NA,NA
1957,"final","ch","gb","0",NA,NA
1957,"final","ch","nl","0",NA,NA
1957,"final","gb","lu","0",NA,NA
1957,"final","gb","at","3",NA,NA
1957,"final","gb","de","1",NA,NA
1957,"final","gb","it","2",NA,NA
1957,"final","gb","fr","1",NA,NA
1957,"final","gb","ch","0",NA,NA
1957,"final","gb","dk","0",NA,NA
1957,"final","gb","nl","1",NA,NA
1957,"final","gb","be","2",NA,NA
1957,"final","gb","be","0",NA,NA
1958,"final","at","be","3",NA,NA
1958,"final","at","de","5",NA,NA
1958,"final","at","se","2",NA,NA
1958,"final","at","it","0",NA,NA
1958,"final","at","dk","0",NA,NA
1958,"final","at","ch","0",NA,NA
1958,"final","at","fr","0",NA,NA
1958,"final","at","fr","0",NA,NA
1958,"final","at","nl","0",NA,NA
1958,"final","at","lu","0",NA,NA
1958,"final","be","fr","1",NA,NA
1958,"final","be","at","9",NA,NA
1958,"final","be","nl","0",NA,NA
1958,"final","be","nl","0",NA,NA
1958,"final","be","ch","0",NA,NA
1958,"final","be","se","0",NA,NA
1958,"final","be","lu","0",NA,NA
1958,"final","be","de","0",NA,NA
1958,"final","be","dk","0",NA,NA
1958,"final","be","it","0",NA,NA
1958,"final","dk","fr","4",NA,NA
1958,"final","dk","ch","1",NA,NA
1958,"final","dk","be","1",NA,NA
1958,"final","dk","lu","2",NA,NA
1958,"final","dk","at","2",NA,NA
1958,"final","dk","it","0",NA,NA
1958,"final","dk","se","0",NA,NA
1958,"final","dk","de","0",NA,NA
1958,"final","dk","de","0",NA,NA
1958,"final","dk","nl","0",NA,NA
1958,"final","fr","nl","2",NA,NA
1958,"final","fr","se","3",NA,NA
1958,"final","fr","dk","3",NA,NA
1958,"final","fr","ch","2",NA,NA
1958,"final","fr","lu","0",NA,NA
1958,"final","fr","lu","0",NA,NA
1958,"final","fr","be","0",NA,NA
1958,"final","fr","de","0",NA,NA
1958,"final","fr","at","0",NA,NA
1958,"final","fr","it","0",NA,NA
1958,"final","de","nl","0",NA,NA
1958,"final","de","ch","1",NA,NA
1958,"final","de","dk","4",NA,NA
1958,"final","de","be","1",NA,NA
1958,"final","de","se","3",NA,NA
1958,"final","de","at","1",NA,NA
1958,"final","de","lu","0",NA,NA
1958,"final","de","fr","0",NA,NA
1958,"final","de","fr","0",NA,NA
1958,"final","de","it","0",NA,NA
1958,"final","it","at","2",NA,NA
1958,"final","it","de","0",NA,NA
1958,"final","it","lu","4",NA,NA
1958,"final","it","lu","1",NA,NA
1958,"final","it","ch","3",NA,NA
1958,"final","it","nl","0",NA,NA
1958,"final","it","fr","0",NA,NA
1958,"final","it","be","0",NA,NA
1958,"final","it","dk","0",NA,NA
1958,"final","it","se","0",NA,NA
1958,"final","lu","nl","10",NA,NA
1958,"final","lu","at","0",NA,NA
1958,"final","lu","at","0",NA,NA
1958,"final","lu","fr","0",NA,NA
1958,"final","lu","be","0",NA,NA
1958,"final","lu","dk","0",NA,NA
1958,"final","lu","de","0",NA,NA
1958,"final","lu","ch","0",NA,NA
1958,"final","lu","se","0",NA,NA
1958,"final","lu","it","0",NA,NA
1958,"final","nl","at","3",NA,NA
1958,"final","nl","se","0",NA,NA
1958,"final","nl","ch","3",NA,NA
1958,"final","nl","be","1",NA,NA
1958,"final","nl","dk","1",NA,NA
1958,"final","nl","fr","1",NA,NA
1958,"final","nl","fr","1",NA,NA
